29301 2
-6.250000e-02 -5.625000e-01 0
6.250000e-02 5.000000e-01 0
6.250000e-02 5.625000e-01 0
-3.750000e-01 -3.125000e-01 0
-1.875000e-01 -5.000000e-01 0
-1.875000e-01 -5.625000e-01 0
-2.500000e-01 -6.250000e-01 0
1.875000e-01 5.000000e-01 0
1.875000e-01 5.625000e-01 0
2.500000e-01 6.250000e-01 0
3.125000e-01 3.750000e-01 0
3.750000e-01 3.125000e-01 0
-3.125000e-01 -3.750000e-01 0
-9.375000e-02 -4.687500e-01 0
-1.250000e-01 -4.375000e-01 0
9.375000e-02 4.687500e-01 0
1.250000e-01 4.375000e-01 0
-4.687500e-01 -2.187500e-01 0
-4.687500e-01 -9.375000e-02 0
-4.375000e-01 -1.250000e-01 0
4.687500e-01 9.375000e-02 0
4.375000e-01 1.250000e-01 0
4.687500e-01 2.187500e-01 0
1.875000e-01 -4.375000e-01 0
2.500000e-01 -3.750000e-01 0
3.750000e-01 -3.750000e-01 0
-1.875000e-01 4.375000e-01 0
-2.500000e-01 3.750000e-01 0
-3.750000e-01 3.750000e-01 0
-5.000000e-01 6.250000e-02 0
-5.625000e-01 6.250000e-02 0
5.000000e-01 -6.250000e-02 0
5.625000e-01 -6.250000e-02 0
-4.375000e-01 1.875000e-01 0
-3.750000e-01 2.500000e-01 0
4.062500e-01 2.187500e-01 0
3.750000e-01 1.875000e-01 0
3.125000e-01 1.875000e-01 0
2.500000e-01 1.250000e-01 0
1.250000e-01 1.250000e-01 0
4.375000e-01 -1.875000e-01 0
3.750000e-01 -2.500000e-01 0
-2.187500e-01 -4.062500e-01 0
-1.875000e-01 -3.750000e-01 0
-1.875000e-01 -3.125000e-01 0
-1.250000e-01 -2.500000e-01 0
-1.250000e-01 -1.250000e-01 0
4.687500e-01 1.562500e-01 0
-3.437500e-01 -4.062500e-01 0
-3.750000e-01 -4.375000e-01 0
-4.375000e-01 -4.375000e-01 0
3.437500e-01 4.062500e-01 0
3.750000e-01 4.375000e-01 0
4.375000e-01 4.375000e-01 0
-4.687500e-01 -1.562500e-01 0
-2.187500e-01 -4.687500e-01 0
-2.812500e-01 -3.437500e-01 0
-2.500000e-01 -3.125000e-01 0
2.187500e-01 4.062500e-01 0
1.875000e-01 3.750000e-01 0
1.875000e-01 3.125000e-01 0
1.250000e-01 2.500000e-01 0
2.812500e-01 3.437500e-01 0
2.500000e-01 3.125000e-01 0
2.187500e-01 4.687500e-01 0
1.562500e-01 4.687500e-01 0
-1.562500e-01 -4.687500e-01 0
4.687500e-01 1.875000e-01 0
-4.687500e-01 -1.875000e-01 0
-2.812500e-01 -4.062500e-01 0
2.812500e-01 4.062500e-01 0
4.687500e-01 -9.375000e-02 0
4.375000e-01 -1.250000e-01 0
-4.687500e-01 9.375000e-02 0
-4.375000e-01 1.250000e-01 0
-9.375000e-02 4.687500e-01 0
-1.250000e-01 4.375000e-01 0
9.375000e-02 -4.687500e-01 0
1.250000e-01 -4.375000e-01 0
-4.375000e-01 0.000000e+00 0
4.375000e-01 0.000000e+00 0
-4.062500e-01 -2.812500e-01 0
4.062500e-01 2.812500e-01 0
0.000000e+00 -4.375000e-01 0
0.000000e+00 4.375000e-01 0
1.875000e-01 4.687500e-01 0
